index,title,original_title,budget,id,genre,language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
63,Happier Than Ever,Happier Than Ever: A Love Letter to Los Angeles,0,853088,"'Music', 'Documentary'",en,https://www.disneyplus.com/movies/happier-than-ever-a-love-letter-to-los-angeles/21VAuvZk4Ssk,"Fresh off the heels of her brand-new album, ""Happier Than Ever,"" this cinematic concert experience features an intimate performance of every song in the album's sequential order – for the first and only time – from the stage of the legendary Hollywood Bowl.",10.997,65,0,2021-09-03,7.9,113,'English','United States of America',https://www.nytimes.com/2021/09/02/movies/happier-than-ever-review.html,"In the Disney+ concert film “Happier Than Ever: A Love Letter to Los Angeles,” the pop star Billie Eilish pays tribute to the star-struck hauntedness of that city.",The New York Times,"subject: Documentary Films and Programs;subject: Music;persons: Eilish, Billie;persons: Rodriguez, Robert;creative_works: Happier Than Ever: A Love Letter to Los Angeles (Movie);persons: Osborne, Patrick (Film Director);glocations: Los Angeles (Calif);",2021-09-02T11:00:07+0000,302,‘Happier Than Ever’ Review: Modern Pop Meets Classic Hollywood,,,Happier Than Ever:  A Love Letter  to Los Angeles,,,,By Teo Bugbee,
64,Love Wedding Repeat,Love Wedding Repeat,0,624808,"'Comedy', 'Romance'",en,https://www.netflix.com/title/80227754,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.",10.686,100,0,2020-04-10,5.648,665,"'English', 'Italian'","'United Kingdom', 'Italy'",https://www.nytimes.com/2020/04/10/movies/love-wedding-repeat-review-a-tumble-down-the-aisle.html,A couple’s reception becomes a disaster (or does it?) in this comedy of multiple errors.,The New York Times,"subject: Movies;creative_works: Love Wedding Repeat (Movie);persons: Craig, Dean (1974- );persons: Claflin, Sam;persons: Munn, Olivia;",2020-04-10T07:01:05+0000,414,‘Love Wedding Repeat’ Review: A Tumble Down the Aisle,Movie Review,,Pratfalling Down The Aisle,,,,By Amy Nicholson,
65,Black Mother,Black Mother,0,500859,'Documentary',en,https://dogwoof.com/blackmother,"Part film, part baptism, in BLACK MOTHER director Khalik Allah brings us on a spiritual journey through Jamaica. Soaking up its bustling metropolises and tranquil countryside, Allah introduces us to a succession of vividly rendered souls who call this island home. Their candid testimonies create a polyphonic symphony, set against a visual prayer of indelible portraiture. Thoroughly immersed between the sacred and profane, BLACK MOTHER channels rebellion and reverence into a deeply personal ode informed by Jamaica’s turbulent history but existing in the urgent present.",1.756,77,0,2018-11-02,6.6,16,'English',"'Jamaica', 'United States of America'",https://www.nytimes.com/2019/03/06/movies/black-mother-review.html,"In Khalik Allah’s poetic movie, the most prevalent perspective is not that of a documentarian, but of a filmmaker’s love.",The New York Times,"subject: Documentary Films and Programs;persons: Allah, Khalik (1985- );creative_works: Black Mother (Movie);",2019-03-06T18:30:16+0000,380,‘Black Mother’ Review: Exploring the Roots of Life Itself,Critic’s Pick,,"Exploring the Roots of Life Itself, With Love",,,,By Glenn Kenny,
66,I Love America,I Love America,0,846238,"'Comedy', 'Romance'",fr,,"A single woman who decides to take a chance on love again by catapulting her life from Paris to Los Angeles. From awkward dates to touching surprise encounters, she understands the journey to love is a journey towards herself.",7.619,102,0,2022-03-11,5.171,70,'French','United States of America',https://www.nytimes.com/2022/04/28/movies/i-love-america-review.html,The determinedly uplifting comedy follows a 50-year-old French filmmaker as she dates in Los Angeles.,The New York Times,"subject: Movies;persons: Marceau, Sophie;creative_works: I Love America (Movie);persons: Azuelos, Lisa;",2022-04-28T11:00:07+0000,291,‘I Love America’ Review: The Gauche Rituals of Modern Romance,,,I Love America,,,,By Nicolas Rapold,
67,"My Love, Don’t Cross That River","님아, 그 강을 건너지 마오",0,306598,"'Documentary', 'Romance', 'Drama'",ko,http://anata-river.com/,"There live a couple known as ""100-year-old lovebirds."" As fairy tale's characters, the husband is strong like a  woodman, and the wife is full of charms like a princess. They dearly love each other wearing Korean traditional clothes all the time, and still fall asleep hand in hand. However, the death, quietly and like a thief, sit between them. This film starts from this moment, and follows the last moments of 76 years of their marriage.",2.687,86,0,2014-11-27,7.35,20,'Korean','South Korea',https://www.nytimes.com/2016/06/17/movies/my-love-dont-cross-that-river-review.html,A film that captures the extraordinary love and profound bond of a couple living in Gangwon Province in South Korea.,The New York Times,"subject: Movies;persons: Jin Mo-young;subject: Documentary Films and Programs;subject: Marriages;glocations: South Korea;persons: Jo Byong-man;persons: Kang Gye-yeul;creative_works: My Love, Don't Cross That River (Movie);",2016-06-16T20:56:08+0000,249,"Review: A Couple’s Adoration After 76 Years of Marriage in ‘My Love, Don’t Cross That River’",,,,,,,By Andy Webster,
68,God’s Own Country,God's Own Country,0,428493,"'Romance', 'Drama'",en,http://www.godsowncountryfilm.com,"A young farmer in rural Yorkshire numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker.",13.333,105,2559939,2017-09-01,7.76,834,"'English', 'Romanian'",'United Kingdom',https://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html,"This feature debut of the writer and director Francis Lee is a bracing, sometimes brutal movie.",The New York Times,"subject: Movies;creative_works: God's Own Country (Movie);persons: Lee, Francis (1969- );persons: O'Connor, Josh (Actor);persons: Secareanu, Alec;",2017-10-24T11:00:24+0000,295,"Review: Love Is Wild, if Not Pretty, in ‘God’s Own Country’",,,"Love Is Wild, if Not Always Pretty",,,,By Jeannette Catsoulis,
69,La Mami,La Mami,0,640235,'Documentary',es,http://gadeafilms.com/la-mami,"One of the rooms inside the legendary Barba Azul Cabaret has become a shelter for the girls working there: the women's bathroom. Every night La Mami, who's in charge of the bathrooms, offers them the warmth and the advice they need to take on the challenge they face in the dance hall.",1.071,82,0,2020-01-27,6.2,4,'Spanish',"'Mexico', 'Spain'",https://www.nytimes.com/2022/04/07/movies/la-mami-review-tough-love.html,This documentary about the den mother of dancers at a Mexico City cabaret is vérité at its best.,The New York Times,"subject: Documentary Films and Programs;subject: Women and Girls;subject: Dancing;subject: Bars and Nightclubs;subject: Labor and Jobs;subject: Content Type: Personal Profile;glocations: Mexico City (Mexico);glocations: Mexico;creative_works: La Mami (Movie);persons: Garvin, Laura Herrero;",2022-04-07T11:00:04+0000,278,‘La Mami’ Review: Tough Love,Critic’s Pick,,La Mami,,,,By Beandrea July,
70,Untogether,Untogether,0,424651,"'Comedy', 'Drama'",en,,"Once considered a teen prodigy, a recovering addict sobers up and tries to get her writing career back on track. She begins a relationship with a rising author known for his wartime memoirs.",11.428,98,0,2019-02-08,5.713,40,'English','United States of America',https://www.nytimes.com/2019/02/07/movies/untogether-review.html,Jemima Kirke and Lola Kirke play damaged siblings in this exasperatingly affected romantic drama from Emma Forrest.,The New York Times,"subject: Movies;persons: Dornan, Jamie;persons: Kirke, Jemima;persons: Kirke, Lola;creative_works: Untogether (Movie);persons: Forrest, Emma;",2019-02-07T12:00:01+0000,269,"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love",,,Untogether,,,,By Jeannette Catsoulis,
71,Deep Water,Deep Water,4,619979,"'Drama', 'Mystery', 'Thriller'",en,https://www.hulu.com/movie/deep-water-2c4ae82e-2c1b-41d5-a651-82189d1c8b2c,"Vic and Melinda Van Allen are a couple in the small town of Little Wesley. Their loveless marriage is held together only by a precarious arrangement whereby, in order to avoid the messiness of divorce, Melinda is allowed to take any number of lovers as long as she does not desert her family.",37.192,116,0,2022-03-18,5.763,1137,'English','United States of America',https://www.nytimes.com/2022/03/17/movies/deep-water-review.html,An unhappy husband raises suspicions when his wife’s lovers begin to disappear.,The New York Times,"subject: Movies;creative_works: Deep Water (Movie);persons: Affleck, Ben;persons: Lyne, Adrian;persons: de Armas, Ana;",2022-03-17T11:00:05+0000,534,‘Deep Water’ Review: Love and Loathing in New Orleans,,,A Non-Erotic Non-Thriller,,,,By Jeannette Catsoulis,
72,"Love, Guaranteed","Love, Guaranteed",0,644090,"'Romance', 'Comedy'",en,https://www.netflix.com/title/81076898,A lawyer takes on a new client that wants to sue a dating website because it guarantees love.,12.639,91,0,2020-09-02,6.416,606,'English','United States of America',https://www.nytimes.com/2020/09/03/movies/love-guaranteed-review-swiping-left-on-online-dating.html,Rachael Leigh Cook stars in this rom-com about a lawyer and her charming new client who wants to sue a dating website for falsely promising love.,The New York Times,"subject: Movies;persons: Cook, Rachael Leigh;persons: Wayans, Damon Jr;persons: Johnson, Mark Steven;creative_works: Love, Guaranteed (Movie);",2020-09-03T07:01:05+0000,343,"‘Love, Guaranteed’ Review: Swiping Left on Online Dating",,,"Love, Guaranteed",,,,By Natalia Winkelman,
73,Leto,Leto,0,204513,"'Family', 'Drama'",sh,,,0.6,80,0,1988-01-01,0.0,0,'Serbian','Yugoslavia',https://www.nytimes.com/2019/06/06/movies/leto-review.html,Kirill Serebrennikov’s gentle mood piece brings an underground music scene to vivid life.,The New York Times,"subject: Music;creative_works: Leto (Movie);persons: Serebrennikov, Kirill S;",2019-06-06T11:00:02+0000,283,‘Leto’ Review: Love and Rock in Leningrad,Critic’s Pick,,Leto,,,,By Jeannette Catsoulis,
74,Pretenders,Pretenders,0,346666,'Drama',en,,"A love triangle involving a photographer, a director and an actress.",2.817,95,0,2019-09-27,5.364,11,'English','United States of America',https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,"Directed by James Franco and featuring James Franco, this film indulges in a distasteful brand of nostalgia.",The New York Times,"subject: Movies;persons: Franco, James;creative_works: Pretenders (Movie);",2019-10-03T11:00:07+0000,276,"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny",,,Pretenders,,,,By Glenn Kenny,
75,Pimp,Pimp,0,417688,'Drama',en,,"An urban love story set on the hard streets of the Bronx. A struggling female pimp, named Wednesday, grows up learning the game from her dad. Once he's gone she's left to look out for her prostitute mother and girlfriend Nikki.",6.736,86,0,2018-11-09,6.556,27,'English','United States of America',https://www.nytimes.com/2018/11/08/movies/pimp-review.html,This lurid melodrama follows a female pimp (Keke Palmer) and her girlfriend-prostitute.,The New York Times,"subject: Movies;persons: Palmer, Keke;persons: Gathegi, Edi;persons: Crokos, Christine;creative_works: Pimp (Movie);",2018-11-08T12:00:01+0000,270,‘Pimp’ Review: Blaxploitation and Lesbian Love,,,Pimp,,,,By Jeannette Catsoulis,
76,The Princess of France,La princesa de Francia,0,284870,'Comedy',es,,"A year after his father’s death, Victor returns to Buenos Aires in order to reconquer the life he was forced to abandon. He brings a new project with him for his former theater company: a radio-play of Shakespeare’s “Love’s Labour’s Lost”.",0.6,65,0,2014-08-07,5.8,6,'Spanish',"'Argentina', 'France'",https://www.nytimes.com/2015/06/26/movies/review-shakespeare-and-love-cuddle-up-in-the-princess-of-france.html,Modern life among the overcultured and underemployed urban young in the latest from the Argentine writer-director Matías Piñeiro.,The New York Times,"subject: Movies;persons: Pineiro, Matias;",2015-06-25T23:04:26+0000,526,Review: Shakespeare and Love Cuddle Up in ‘The Princess of France’,,,Elizabethan Embraces and Games,,,,By A.O. Scott,
77,Shéhérazade,Shéhérazade,0,518671,"'Drama', 'Thriller', 'Romance'",fr,,"Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. He falls in love with Shéhérazade, a young prostitute of whom he becomes the pimp without realizing it...",5.942,106,0,2018-09-05,7.264,235,'French','France',https://www.nytimes.com/2019/05/10/movies/sheherazade-review.html,The options are few and most of them involve risk or further deprivation for these French teenagers who face the world with little support.,The New York Times,"subject: Movies;organizations: Netflix Inc;creative_works: Sheherazade (Movie);persons: Marlin, Jean-Bernard;",2019-05-10T11:00:01+0000,350,‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,Streaming Movie Review,,,,,,By Helen T. Verongos,
78,Love Hard,Love Hard,0,734265,"'Comedy', 'Romance'",en,https://www.netflix.com/title/81086631,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for Christmas, only to discover that she's been catfished. But the object of her affection actually lives in the same town, and the guy who duped her offers to set them up if she pretends to be his own girlfriend for the holidays.",16.794,105,0,2021-11-05,6.985,1356,'English','United States of America',https://www.nytimes.com/2021/11/05/movies/love-hard-review.html,"When a perennially single journalist travels across the country to meet her dream guy, she finds she’s been catfished.",The New York Times,"subject: Movies;creative_works: Love Hard (Movie);persons: Jimenez, Hernan;",2021-11-05T07:01:03+0000,343,"‘Love Hard’ Review: Seeking Connection, Not Perfection",,,Love Hard,,,,By Concepción de León,
79,"Pamela, a Love Story","Pamela, A Love Story",0,1061671,'Documentary',en,https://www.netflix.com/title/81590934,"In her own words, through personal video and diaries, Pamela Anderson shares the story of her rise to fame, rocky romances and infamous sex tape scandal.",11.789,113,0,2023-01-30,7.0,194,'English','United States of America',https://www.nytimes.com/2023/01/31/movies/pamela-a-love-story-review.html,"This documentary from Ryan White rewinds, to powerful effect, on Pamela Anderson’s life and fame.",The New York Times,"subject: Documentary Films and Programs;persons: Anderson, Pamela (1967- );persons: White, Ryan (Filmmaker);creative_works: Pamela, a Love Story (Movie);",2023-01-31T12:00:05+0000,295,"‘Pamela, a Love Story’ Review: A Frank Look Back",,,"Pamela, a Love Story",,,,By Glenn Kenny,
80,Museum Town,Museum Town,0,576552,'Documentary',en,https://www.museumtownmovie.com/,A rural American town suffering economically from factory closures finds an unconventional route to recovery with the help of MASS MoCA.,0.643,75,0,2019-03-10,0.0,0,'English','United States of America',https://www.nytimes.com/2020/12/17/movies/museum-town-review.html,This documentary looks at how a contemporary art museum in Western Massachusetts transformed a struggling small town.,The New York Times,"subject: Documentary Films and Programs;subject: Art;creative_works: Museum Town (Movie);persons: Trainer, Jennifer;organizations: Massachusetts Museum of Contemporary Art;subject: Museums;glocations: North Adams (Mass);",2020-12-17T15:49:52+0000,280,‘Museum Town’ Review: A Love Letter to Mass MoCA,,,Museum Town,,,,By Lovia Gyarkye,
81,Future People,Future People: The Family of Donor 5114,0,816819,'Documentary',en,,"Filmed over eight years, Rothman follows a group of adolescents who discover that they were conceived from the same sperm donor, forming an unlikely family of familiar strangers. There are presently 37 half-siblings, and counting. This documentary explores the complexities of alternative conception while defining a new realm of modern family.",0.6,102,0,2021-04-09,0.0,0,'English',,https://www.nytimes.com/2021/04/09/movies/future-people-review.html,This documentary chronicles eight years in the lives of a group of children who form a bond after discovering they were conceived by the same sperm donor.,The New York Times,"subject: Documentary Films and Programs;creative_works: Future People: The Family of Donor 5114 (Movie);subject: ARTIFICIAL INSEMINATION;subject: Children and Childhood;persons: Rothman, Michael (Filmmaker);",2021-04-09T11:00:04+0000,317,"‘Future People’ Review: Connected by Biology, Bonded by Love",,,So Many Siblings  Seeking One Another,,,,By Natalia Winkelman,
82,"Marguerite & Julien,’ a Tale of Siblings in Lov",Le Théorème de Marguerite,2470000,960033,'Drama',fr,,"Marguerite is a young and brilliant mathematician, the only girl in her class at the ENS, entirely devoted to her passion. The day she discovers an error in her thesis, she is devastated. In a dizzy spell, she leaves the school, wipes out the past. She then dives into the real world, discovers autonomy, befriends the young Léa, and makes love for the first time. Grown by her experiences, it is in this new momentum that she will find the solution to her theorem.",4.368,112,0,2023-11-01,6.583,18,'French',"'France', 'Switzerland'",https://www.nytimes.com/2016/02/26/movies/review-marguerite-julien-a-tale-of-siblings-in-love.html,"Valérie Donzelli’s film transposes the factually based, centuries-old story of incestuous French lovers to a not-quite-modern setting.",The New York Times,"subject: Movies;persons: Donzelli, Valerie;persons: Elkaim, Jeremie;creative_works: Marguerite & Julien (Movie);",2016-02-26T01:18:45+0000,289,"Review: ‘Marguerite & Julien,’ a Tale of Siblings in Love",,,"Review: ‘Marguerite &amp; Julien,’ a Tale of Siblings in Love",,,,By Glenn Kenny,
83,The Party,The Party,1500000,10794,'Comedy',en,,"Hrundi V. Bakshi, an accident-prone actor from India, is accidentally put on the guest list for an upcoming party at the home of a Hollywood film producer. Unfortunately, from the moment he arrives, one thing after another goes wrong with compounding effect.",12.948,99,2900000,1968-04-04,7.277,691,'English','United States of America',https://www.nytimes.com/2018/02/15/movies/the-party-review-timothy-spall-kristin-scott-thomas.html,Sally Potter directs a very fine cast in a would-be comedy about a calamitously bad evening.,The New York Times,"subject: Movies;creative_works: The Party (Movie);persons: Potter, Sally;persons: Spall, Timothy;persons: Scott Thomas, Kristin;",2018-02-15T12:00:25+0000,598,Review: A London Night Goes Wrong in ‘The Party’,,,"  Invite Company. Because After All, Misery Loves It.",,,,By Manohla Dargis,
84,To All the Boys: Always and Forever,To All the Boys: Always and Forever,0,614409,"'Romance', 'Comedy', 'Drama'",en,https://www.netflix.com/title/81040397,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,25.615,115,0,2021-02-12,7.588,1776,"'English', 'Korean'",'United States of America',https://www.nytimes.com/2021/02/11/movies/to-all-the-boys-always-and-forever-review.html,"This final installment of the Netflix rom-com trilogy is earnest, bright-eyed and without a hint of cynicism.",The New York Times,"subject: Movies;persons: Condor, Lana;persons: Fimognari, Michael;persons: Centineo, Noah;creative_works: To All the Boys: Always and Forever (Movie);",2021-02-12T02:00:03+0000,482,‘To All the Boys: Always and Forever’ Review: Love Sweet Love,,,A Rom-Com Sequel That May Cause Cavities,,,,By Maya Phillips,
85,69: The Saga of Danny Hernandez,69: The Saga of Danny Hernandez,0,765057,"'Music', 'Documentary'",en,https://www.hulu.com/movie/69-the-saga-of-danny-hernandez-345025ec-5022-4cca-a5f7-d3870fce96b3,"Part investigative documentary, part real-life gangster movie, this film unpacks the life of polarizing rap sensation and internet troll Tekashi69, aka 69, while chronicling his meteoric rise and fall from fame.",2.321,101,0,2021-04-29,6.9,10,'English','United States of America',https://www.nytimes.com/2020/11/17/movies/69-saga-of-danny-hernadez-review.html,The rise and fall of the provocative rapper Tekashi69 is chronicled in this Hulu documentary.,The New York Times,"subject: Documentary Films and Programs;subject: Rap and Hip-Hop;persons: Gandhi, Vikram;persons: 6ix9ine (Rapper);creative_works: 69: The Saga of Danny Hernandez (Movie);",2020-11-17T19:07:20+0000,363,‘69: The Saga of Danny Hernandez’ Review: A SoundCloud-Rap Rat,,,"Loved in Hip-Hop, but Loathed in the End",,,,By Calum Marsh,
86,The Lost Weekend: A Love Story,The Lost Weekend: A Love Story,0,965042,'Documentary',en,https://thelostweekendmovie.com/,"May Pang lovingly recounts her life in rock & roll and the whirlwind 18 months spent as friend, lover, and confidante to one of the towering figures of popular culture, John Lennon, in this funny, touching, and vibrant portrait of first love.",2.071,95,0,2023-04-13,6.0,2,'English','United States of America',https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",The New York Times,"subject: Documentary Films and Programs;creative_works: The Lost Weekend: A Love Story (Movie);persons: Pang, May;persons: Lennon, John;persons: Ono, Yoko;persons: Brandstein, Eve;persons: Kaufman, Richard S (Filmmaker);persons: Samuels, Stuart (Filmmaker);subject: Content Type: Personal Profile;subject: Pop and Rock Music;",2023-04-13T11:00:03+0000,327,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,,,The Lost Weekend:  A Love Story,,,,By Glenn Kenny,
87,Art of Love,L'Art d'aimer,0,92424,"'Romance', 'Comedy'",fr,,"The Art of Love is composed of several chapters, which follows several Parisian couples.",4.527,85,0,2011-11-23,5.855,55,'French','France',https://www.nytimes.com/2022/07/21/movies/art-of-love-review.html,"A disillusioned college professor develops a relationship with a young Chinese woman, in a familiar and worn-out narrative.",The New York Times,"subject: Movies;creative_works: Art of Love (Movie);persons: Kaplan, Betty (Film Director);",2022-07-21T13:21:43+0000,354,‘Art of Love’ Review: An Erotic Male Fantasy in Puerto Rico,,,Art of Love,,,,By Concepción de León,
88,Asher,Asher,0,529982,"'Thriller', 'Action', 'Drama'",en,,"Asher is a former Mossad agent turned gun for hire, living an austere life in an ever-changing Brooklyn. Approaching the end of his career, he breaks the oath he took as a young man when he meets Sophie on a hit gone wrong. In order to have love in his life before it's too late, he must kill the man he was, for a chance at becoming the man he wants to be.",10.283,117,0,2018-12-07,5.788,132,'English','United States of America',https://www.nytimes.com/2018/12/06/movies/asher-review.html,Ron Perlman and Famke Janssen star in this film that finds a hired killer dealing with his own mortality.,The New York Times,"subject: Movies;creative_works: Asher (Movie);persons: Caton-Jones, Michael;persons: Perlman, Ron;persons: Janssen, Famke;",2018-12-06T12:00:04+0000,259,‘Asher’ Review: An Aging Hit Man Finds Love,,,Asher,,,,By Glenn Kenny,
89,Wild Mountain Thyme,Wild Mountain Thyme,0,628333,"'Romance', 'Drama'",en,,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams.",10.971,102,0,2020-12-11,5.141,142,'English',"'Ireland', 'United Kingdom'",https://www.nytimes.com/2020/12/10/movies/wild-mountain-thyme-review.html,John Patrick Shanley adapts his play “Outside Mullingar” into a movie. (Don’t worry about the accents.),The New York Times,"subject: Movies;persons: Shanley, John Patrick;persons: Blunt, Emily;persons: Dornan, Jamie;creative_works: Outside Mullingar (Play);creative_works: Wild Mountain Thyme (Movie);",2020-12-10T12:00:04+0000,341,‘Wild Mountain Thyme’ Review: Finding Love Down on the Farm,,,Wild Mountain Thyme,,,,By Glenn Kenny,
90,Diane,Diane,0,510034,'Drama',en,,"Diane is a devoted friend and caretaker, particularly to her drug-addicted son. But as those around her begin to drift away in the last quarter of her life, she is left to reckon with past choices and long-dormant memories.",3.588,96,0,2019-03-28,6.206,34,'English','United States of America',https://www.nytimes.com/2019/03/28/movies/diane-review.html,"Mary Kay Place is astonishing as a weary widow dealing with guilt, heartache and a diminishing circle of friends.",The New York Times,"subject: Movies;creative_works: Diane (Movie);persons: Jones, Kent;persons: Place, Mary Kay;persons: Parsons, Estelle;persons: Martin, Andrea (1947- );",2019-03-28T11:00:01+0000,511,"‘Diane’ Review: A Vibrant Tale of Love, Sisterhood and Decline",Critic’s Pick,,"A Vibrant Tale of Love, Sisterhood and Decline",,,,By Jeannette Catsoulis,
91,Luz,Luz,0,1193055,,es,,,1.778,0,0,2023-10-31,0.0,0,,,https://www.nytimes.com/2021/03/18/movies/luz-review.html,"In this romantic drama from Jon Garcia, two men find love in prison, then try to make it work on the outside.",The New York Times,"subject: Movies;creative_works: Luz (Movie);persons: Garcia, Jon (1979- );",2021-03-18T11:00:08+0000,296,‘Luz’ Review: Love In and Out of Lockup,,,Luz,,,,By Teo Bugbee,
92,"Lingui, the Sacred Bonds",Lingui : les liens sacrés,0,820693,'Drama',fr,,"On the outskirts of the capital of Chad, determined single mother Amina works tirelessly to provide for herself and her 15-year old daughter Maria. When Amina discovers Maria is pregnant and does not want a child, the two women begin to seek out an abortion, condemned by both religion and law. In the process, mother and daughter forge a connection stronger than any they’ve ever known.",5.164,88,0,2021-12-08,6.661,28,"'Arabic', 'French'","'Germany', 'Belgium', 'Chad', 'France'",https://www.nytimes.com/2022/02/03/movies/lingui-the-sacred-bonds-review.html,"In this electric liberation story from Chad, a mother struggles to protect her daughter’s future and finds both herself and a world of possibility.",The New York Times,"subject: Movies;persons: Haroun, Mahamat-Saleh;creative_works: Lingui, the Sacred Bonds (Movie);",2022-02-03T19:21:56+0000,852,"‘Lingui, the Sacred Bonds’ Review: Love, Ferocious and Limitless",Critic’s Pick,,"Love, Ferocious and Limitless",,,,By Manohla Dargis,
93,Preparations to Be Together,Felkészülés meghatározatlan ideig tartó együttlétre,1000000,727002,'Drama',hu,,"Márta, a 40-year-old neurosurgeon, falls in love. She leaves her shining American career behind and returns to Budapest to start a new life with the man she loves. But she waits for him at the Liberty Bridge in vain - he does not appear at their rendezvous. Márta starts to search for him desperately, but when she finally finds him, the love of her life claims that they have never met before.",4.452,95,117368,2020-09-24,6.6,25,"'English', 'Hungarian'",'Hungary',https://www.nytimes.com/2021/01/21/movies/preparations-to-be-together-for-an-unknown-period-of-time-review.html,A neurosurgeon pursues the man of her dreams in this simmering portrait of obsession by the Hungarian filmmaker Lili Horvat.,The New York Times,"subject: Movies;creative_works: Preparations to Be Together for an Unknown Period of Time (Movie);persons: Horvat, Lili;",2021-01-21T12:00:03+0000,438,‘Preparations to Be Together’ Review: Mysteries of Love,Critic’s Pick,,"Neurosurgeon, Heal Thyself",,,,By Beatrice Loayza,
94,Atlantis,Atlantis,0,15466,"'Music', 'Documentary'",fr,,"Atmospheric soundtrack follows this compilation of nature footage that focuses on the ocean and various life forms that live, mate and die in it.",6.512,74,138,1991-08-21,6.2,41,'French',"'France', 'Italy'",https://www.nytimes.com/2021/01/21/movies/atlantis-review-a-bleak-apocalypse-love-story.html,"Ukraine’s official Oscar entry, the movie depicts an all-too-convincing dystopia, with no fancy gadgets or cars.",The New York Times,"subject: Movies;creative_works: Atlantis (Movie);persons: Vasyanovych, Valentyn;",2021-01-21T12:00:06+0000,320,‘Atlantis’ Review: A Bleak Apocalypse Love Story,Critic’s Pick,,Atlantis,,,,By Glenn Kenny,
95,Thor: Love and Thunder,Thor: Love and Thunder,250000000,616037,"'Fantasy', 'Action', 'Comedy'",en,https://www.marvel.com/movies/thor-love-and-thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",133.692,119,760928081,2022-07-06,6.502,6693,'English','United States of America',https://www.nytimes.com/2022/07/07/movies/thor-love-and-thunder-review.html,"The director Taika Waititi injects antic silliness, once again, into this Marvel franchise starring Chris Hemsworth, who swings a mighty hammer and flexes mightier muscles.",The New York Times,"subject: Movies;organizations: Marvel Studios;persons: Bale, Christian;persons: Crowe, Russell;persons: Hemsworth, Chris;persons: Waititi, Taika;persons: Thompson, Tessa;persons: Portman, Natalie;",2022-07-07T18:26:10+0000,942,‘Thor: Love and Thunder’ Review: A God’s Comic Twilight,,,"He’s Still a Norse God, But Also a Big Old Goof",,,,By Manohla Dargis,
96,A Tuba to Cuba,A Tuba To Cuba,0,502190,"'Documentary', 'Music', 'History'",en,https://www.atubatocuba.com/,"A son seeking to fulfill his late father’s dream takes his band from the storied city of New Orleans to the shores of Cuba, where — through the universal language of music — dark and ancient connections between their peoples reveal the roots of jazz.",1.086,82,0,2019-02-15,6.6,8,'English',"'Cuba', 'United States of America'",https://www.nytimes.com/2019/02/14/movies/a-tuba-to-cuba-review.html,This joyous documentary follows the Preservation Hall Jazz Band to Cuba for a celebration of musical history and common bonds.,The New York Times,"subject: Documentary Films and Programs;creative_works: A Tuba to Cuba (Movie);persons: Herrington, TG;persons: Clinch, Danny;subject: Jazz;organizations: Preservation Hall Jazz Band;",2019-02-14T12:00:01+0000,267,‘A Tuba to Cuba’ Review: A New Orleans Jazz Band Makes a Caribbean Connection,Critic’s Pick,,Love Notes Forge a Caribbean Bond,,,,By Jeannette Catsoulis,
